learning evaluation instances,evaluation time (cpu seconds),evaluation time (wall) (seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (leaves),[err] tree size (leaves)
100000.0,76.828125,91.01300048828125,-1.987549088274439E-11,100000.0,2.3406305163443286,3.0639947897821442,0.4266057696543068,0.44775734736786965,0.7995133578780889,0.7994913017007141,100000.0,-1.0,100.0,99995.59000000001,306.68020704626394,-1.0,0.0,777.0099999999996,21.809318275369453
200000.0,151.46875,180.46200561523438,-3.9185073951052294E-11,200000.0,2.506437601108543,3.3036188681456733,0.43990051576788597,0.4635463025483866,0.7851248253937196,0.7851130065499856,200000.0,-1.0,100.0,199962.14000000007,456.9910155384162,-1.0,0.0,1547.04,30.897327529817964
300000.0,223.25,262.510009765625,-5.7754934661918217E-11,300000.0,2.461310845146196,3.2626466964474323,0.4057905234142739,0.43243060275005357,0.8130037738052254,0.8129969170026594,300000.0,-1.0,100.0,299981.4599999998,557.2767373757766,-1.0,0.0,2337.7199999999993,33.833245260371946
400000.0,302.0,354.2019958496094,-7.812761598163181E-11,400000.0,2.390423185200846,3.2139329103856453,0.38716491918295676,0.42045702939745017,0.8232158864302718,0.8232110247212974,400000.0,-1.0,100.0,399968.9500000001,676.6984523807887,-1.0,0.0,3144.0400000000013,38.745457863477235
500000.0,378.96875,443.42498779296875,-9.803948665244711E-11,500000.0,2.379392756831163,3.1999400659267954,0.39468532900893843,0.42764884891706123,0.8171164620199125,0.8171124384855122,500000.0,-1.0,100.0,499926.1499999999,741.5366978393112,-1.0,0.0,3948.22,43.08731562393704
