learning evaluation instances,evaluation time (cpu seconds),evaluation time (wall) (seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
100000.0,68.3125,374.3380126953125,-1.7672492605116632E-11,100000.0,1.6801002615546934,2.3217726015240676,0.30621683352927065,0.3392925943335991,0.8848805354303757,0.8848678707695137,100000.0,-1.0,10.0,100116.9,283.72500379377436,0.0,0.0
200000.0,134.40625,782.6630249023438,-3.4770992998447684E-11,200000.0,1.8026000092252457,2.480350927321782,0.3163712008751666,0.34802970538421546,0.8788753241701762,0.8788686619132702,200000.0,-1.0,10.0,200266.6,472.1558593891986,0.0,0.0
300000.0,201.296875,1240.5849609375,-5.2075645524180596E-11,300000.0,1.8394654668659902,2.5290366895442538,0.30326834015054904,0.335198065186597,0.8876422570951619,0.8876381371464575,300000.0,-1.0,10.0,300298.6,440.02302970033116,0.0,0.0
400000.0,269.1875,1744.125,-6.963899876508448E-11,400000.0,1.8676238749368252,2.560611224703263,0.30248972277405467,0.3349873874160349,0.8877834502721793,0.8877803642244804,400000.0,-1.0,10.0,400213.9,477.7220135415848,0.0,0.0
500000.0,338.875,2279.5419921875,-8.766720485356119E-11,500000.0,1.9229911171716487,2.609669587589262,0.31897902504038506,0.34876346812551234,0.8783640433010648,0.8783613672457921,500000.0,-1.0,10.0,500149.5,670.0353639091672,0.0,0.0
