learning evaluation instances,evaluation time (cpu seconds),evaluation time (wall) (seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination,model training instances,model serialized size (bytes)
100000.0,145.015625,164.30999755859375,-3.7515645898464656E-11,100000.0,1.946555228762165,2.574432992686023,0.3547811949566744,0.37621515925077026,0.8584621539499175,0.8584465829183282,100000.0,-1.0
200000.0,354.609375,402.6940002441406,-9.173769891882937E-11,200000.0,2.0986269527153607,2.7904173968348736,0.36832637624633796,0.39153659017437936,0.8466990985546201,0.8466906664991173,200000.0,-1.0
300000.0,522.828125,603.2230224609375,-1.3525600984899535E-10,300000.0,2.103283187299999,2.803000726053953,0.3467633465094546,0.37150920901002255,0.8619809076207474,0.8619758467182574,300000.0,-1.0
400000.0,960.078125,1220.1629638671875,-2.4837289755750035E-10,400000.0,2.075466368377854,2.7867581458957815,0.3361529346580705,0.36457265423499163,0.8670867797840532,0.8670831245608406,400000.0,-1.0
500000.0,1128.609375,1417.0250244140625,-2.9197205246115727E-10,500000.0,2.103369400179628,2.8120870036643533,0.3488995422692787,0.3758150919690381,0.8587630166483035,0.8587599093600948,500000.0,-1.0
