learning evaluation instances,evaluation time (cpu seconds),evaluation time (wall) (seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination,model training instances,model serialized size (bytes)
100000.0,92.453125,107.84400177001953,-2.391768955729074E-11,100000.0,3.782476081562418,4.655205871052087,0.6893980526640978,0.6802892221699308,0.5372065741994305,0.537155660812986,100000.0,-1.0
200000.0,182.5625,210.7949981689453,-4.722904931339953E-11,200000.0,3.9401827222238466,4.883295938153835,0.6915346350371488,0.6851982225332628,0.5305033958372573,0.5304775719745966,200000.0,-1.0
300000.0,269.9375,318.3869934082031,-6.983302430146271E-11,300000.0,3.83953726650576,4.801271519410028,0.6330154682073238,0.6363596583613711,0.595046385210199,0.5950315363170344,300000.0,-1.0
400000.0,421.09375,498.0830078125,-1.0893725427902408E-10,400000.0,3.702502611647234,4.6843076544074815,0.5996758788518216,0.6128161775846085,0.6244563324905896,0.6244460047299003,400000.0,-1.0
500000.0,521.703125,614.7249755859375,-1.3496497154442802E-10,500000.0,3.693053395398568,4.691554073295559,0.6125907504029143,0.6269922741493292,0.6068806881570524,0.6068720393246199,500000.0,-1.0
