learning evaluation instances,evaluation time (cpu seconds),evaluation time (wall) (seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination,model training instances,model serialized size (bytes)
100000.0,76.359375,119.53399658203125,0.0,100000.0,3.5028525988280896,4.580290303450187,0.6384335838031152,0.6693414242370336,0.5519820578003395,0.551932769912151,100000.0,0.0
200000.0,176.046875,287.90899658203125,0.0,200000.0,3.66885030626927,4.795279664257083,0.6439135533592427,0.6728482451426123,0.547275239008507,0.5472503376525713,200000.0,0.0
300000.0,269.796875,472.6719970703125,0.0,300000.0,3.595054144475912,4.715849645529264,0.5927081115603191,0.625037858654857,0.6093276752481511,0.6093133500232346,300000.0,0.0
400000.0,375.25,671.0819702148438,0.0,400000.0,3.465180956922937,4.5653906177006185,0.5612380742653597,0.5972590687734867,0.6432816047678276,0.6432717947176572,400000.0,0.0
500000.0,470.125,861.2979736328125,0.0,500000.0,3.444047538285253,4.538443635963096,0.5712865317707589,0.6065301714432114,0.6321211511290685,0.6321130576001487,500000.0,0.0
