learning evaluation instances,evaluation time (cpu seconds),evaluation time (wall) (seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination,model training instances,model serialized size (bytes)
100000.0,49.03125,86.13600158691406,0.0,100000.0,1.8068456662302979,2.4407873918851117,0.32931758374773384,0.3566848389311799,0.8727759256766382,0.8727619293489033,100000.0,0.0
200000.0,98.140625,184.03799438476562,0.0,200000.0,1.925543981450316,2.5903970327449604,0.3379488841849132,0.3634707920575692,0.8678889833210433,0.8678817167791334,200000.0,0.0
300000.0,148.921875,306.60101318359375,0.0,300000.0,1.9569809112271057,2.6238155277553137,0.3226428347498793,0.34776003525224514,0.8790629578813572,0.8790585233457648,300000.0,0.0
400000.0,200.59375,436.8630065917969,0.0,400000.0,1.9765154327502923,2.6402007024446315,0.3201263452104351,0.3453995386075838,0.8806991587296682,0.8806958778581071,400000.0,0.0
500000.0,253.484375,572.9580078125,0.0,500000.0,2.032517955242264,2.6903155693426495,0.3371469529686774,0.3595412203821421,0.87073011084612,0.8707272668403024,500000.0,0.0
