learning evaluation instances,evaluation time (cpu seconds),evaluation time (wall) (seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (leaves),[err] tree size (leaves)
100000.0,75.28125,87.26899719238281,-1.9475313213964304E-11,100000.0,2.3422592740222625,3.0702836247540177,0.42690262873476537,0.4486763672286183,0.79868951749053,0.7986673706798366,100000.0,-1.0,100.0,99989.93,329.65504636810743,-1.0,0.0,776.94,16.059749548344627
200000.0,149.984375,176.56500244140625,-3.8801065076970395E-11,200000.0,2.5106564342102344,3.3115446632217873,0.44064095584768365,0.4646584081359028,0.7840925637486087,0.7840806881270775,200000.0,-1.0,100.0,199953.24,494.3187153277107,-1.0,0.0,1543.2099999999998,22.874402349094993
300000.0,220.921875,258.9309997558594,-5.7152647059410814E-11,300000.0,2.4631351053631403,3.2674547055731824,0.40609128490067353,0.43306785540954007,0.8124522326109818,0.8124453555844298,300000.0,-1.0,100.0,299941.0099999999,568.0119413846446,-1.0,0.0,2337.8199999999997,28.164516683231025
400000.0,299.53125,349.9209899902344,-7.748894859105349E-11,400000.0,2.3897691176006086,3.2164835092042794,0.3870589831164252,0.4207907069297353,0.8229351809615736,0.8229303115329671,400000.0,-1.0,100.0,399917.5600000002,605.1536964801869,-1.0,0.0,3144.2599999999993,31.989777407569797
500000.0,376.15625,438.6340026855469,-9.731189089102877E-11,500000.0,2.3783304590161887,3.201807665698627,0.39450911877151346,0.42789844012071093,0.8169029249422624,0.8168988967099335,500000.0,-1.0,100.0,499973.3999999999,708.1574469685248,-1.0,0.0,3948.6400000000003,34.4071052093734
