learning evaluation instances,evaluation time (cpu seconds),evaluation time (wall) (seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
100000.0,67.84375,382.81298828125,-1.7551226644880242E-11,100000.0,1.6950521137873413,2.329879481905186,0.3089419737788425,0.3404772945383721,0.8840752119038306,0.8840624586467493,100000.0,-1.0,10.0,100103.1,362.28670353127274,0.0,0.0
200000.0,134.265625,799.2990112304688,-3.473461321037677E-11,200000.0,1.8162343384213917,2.495067901559352,0.31876413834262285,0.35009471326339453,0.8774336917450216,0.8774269501935745,200000.0,-1.0,10.0,200038.80000000002,414.4672081922423,0.0,0.0
300000.0,200.890625,1258.31005859375,-5.1970548358642394E-11,300000.0,1.8553081071865989,2.547085658918099,0.305880278955695,0.33759027232132827,0.8860328080340114,0.886028629069814,300000.0,-1.0,10.0,299939.3,670.9639914166609,0.0,0.0
400000.0,269.046875,1765.0419921875,-6.960261897701356E-11,400000.0,1.8821491396918562,2.5767547107734496,0.30484230745019436,0.33709933013122223,0.8863640416250813,0.8863609165424735,400000.0,-1.0,10.0,400044.2,948.0153303964343,0.0,0.0
500000.0,339.578125,2299.569091796875,-8.784910379391577E-11,500000.0,1.935203752867886,2.6230786045628856,0.3210048142355473,0.3505554862745206,0.8771108510428344,0.8771081474166703,500000.0,-1.0,10.0,500019.2,936.7923759059738,0.0,0.0
