learning evaluation instances,evaluation time (cpu seconds),evaluation time (wall) (seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination,model training instances,model serialized size (bytes)
100000.0,76.28125,87.48400115966797,-1.973401392913527E-11,100000.0,3.777780117106788,4.649424331190387,0.6885421612635224,0.6794443359577188,0.5383553943349746,0.5383046073339113,100000.0,-1.0
200000.0,172.0,196.76100158691406,-4.44965230094062E-11,200000.0,3.940101890918618,4.885659575169447,0.6915204484749761,0.6855298755607104,0.5300487897137169,0.5300229408462191,200000.0,-1.0
300000.0,267.46875,306.5400085449219,-6.919435691088438E-11,300000.0,3.84543945614522,4.813010645415195,0.6339885483153523,0.637915559997825,0.5930637383126613,0.5930488167195358,300000.0,-1.0
400000.0,407.796875,473.45599365234375,-1.0549734320698513E-10,400000.0,3.707428596736425,4.694948913173843,0.6004737160844758,0.6142083012457764,0.6227481626807776,0.6227377879440092,400000.0,-1.0
500000.0,522.796875,606.7130126953125,-1.3524792545164623E-10,500000.0,3.7003084621977367,4.704051561261473,0.6137941954492989,0.6286624730383292,0.604783494993332,0.6047748000215425,500000.0,-1.0
