learning evaluation instances,evaluation time (cpu seconds),evaluation time (wall) (seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination,model training instances,model serialized size (bytes)
100000.0,87.921875,102.40299987792969,-2.27454519416723E-11,100000.0,3.791159923131334,4.666447667060201,0.6909807787245309,0.681932043749468,0.5349686877076736,0.5349175281241714,100000.0,-1.0
200000.0,177.609375,206.46200561523438,-4.594767233356834E-11,200000.0,3.944319923634461,4.891518212235325,0.6922607480804418,0.686351928484565,0.5289210302655185,0.5288951193675293,200000.0,-1.0
300000.0,273.34375,317.6549987792969,-7.071422361251381E-11,300000.0,3.847914538927946,4.8151828067051134,0.6343966093856866,0.638203457862124,0.5926963463728282,0.592681411308126,300000.0,-1.0
400000.0,413.4375,493.8219909667969,-1.0695657692849636E-10,400000.0,3.711650686703516,4.699326171057538,0.6011575469354363,0.6147809481858346,0.622044385747726,0.6220339916565114,400000.0,-1.0
500000.0,518.21875,618.6719970703125,-1.3406356124000416E-10,500000.0,3.7015269756426554,4.705057226384952,0.6139963181877702,0.6287968729094491,0.6046144926192981,0.6046057939293672,500000.0,-1.0
