learning evaluation instances,evaluation time (cpu seconds),evaluation time (wall) (seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination,model training instances,model serialized size (bytes)
100000.0,48.609375,82.28399658203125,0.0,100000.0,1.7936226930243662,2.4232323786307846,0.3269075508005239,0.3541194343835031,0.8745994261919079,0.8745856304733028,100000.0,0.0
200000.0,98.15625,183.4499969482422,0.0,200000.0,1.9189441590780278,2.5786921138085943,0.33679056080823633,0.3618284198254399,0.8690801946066252,0.8690729935852674,200000.0,0.0
300000.0,148.359375,305.43798828125,0.0,300000.0,1.9508762867262432,2.6132038342929773,0.32163637968292275,0.34635356332100187,0.8800392091748448,0.880034810436565,300000.0,0.0
400000.0,199.4375,434.8919982910156,0.0,400000.0,1.976291472078485,2.6364556708270053,0.3200900714176032,0.3449096015389355,0.8810373667662528,0.8810340951956918,400000.0,0.0
500000.0,251.71875,570.7930297851562,0.0,500000.0,2.0302654584235285,2.6845752753895895,0.3367733166930177,0.35877407160719754,0.8712811655423935,0.8712783336600702,500000.0,0.0
