learning evaluation instances,evaluation time (cpu seconds),evaluation time (wall) (seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination,model training instances,model serialized size (bytes)
100000.0,143.671875,161.61000061035156,-3.716801681245367E-11,100000.0,1.958066166502541,2.5886936660742457,0.3568791905266225,0.3782991449381102,0.8568897569390947,0.8568740129230761,100000.0,-1.0
200000.0,351.65625,398.1449890136719,-9.09737233693401E-11,200000.0,2.0981199068073493,2.7885882373559983,0.3682373854985318,0.39127993220412155,0.8469000146543381,0.8468915936498838,200000.0,-1.0
300000.0,530.859375,606.2689819335938,-1.3733369996771216E-10,300000.0,2.111932520743208,2.8114441454921986,0.3481893417477342,0.372628298294476,0.861148151310163,0.8611430598720535,300000.0,-1.0
400000.0,944.71875,1178.10498046875,-2.443994162604213E-10,400000.0,2.084842787553387,2.7962140671223357,0.33767158649963375,0.3658097082308251,0.8661832573640786,0.866179577293254,400000.0,-1.0
500000.0,1108.6875,1366.83203125,-2.8681824915111066E-10,500000.0,2.113439437440732,2.8233073239708872,0.35056992474737975,0.3773146066364106,0.8576336876188108,0.8576305554847672,500000.0,-1.0
