learning evaluation instances,evaluation time (cpu seconds),evaluation time (wall) (seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination,model training instances,model serialized size (bytes)
100000.0,180.21875,192.531005859375,0.0,100000.0,2.3107776190852602,3.1812829784149526,0.4211647493297891,0.46489727475774045,0.783870523922826,0.783846746827206,100000.0,0.0
200000.0,364.234375,388.8039855957031,0.0,200000.0,2.583396929963851,3.4661122372177378,0.4534075140835939,0.4863465114793475,0.7634670707718689,0.7634540606801559,200000.0,0.0
300000.0,549.90625,585.6119995117188,0.0,300000.0,2.8166116692111336,3.7526856851115755,0.46436813365442625,0.49738028163186454,0.7526128554438071,0.752603784218991,300000.0,0.0
400000.0,734.390625,782.458984375,0.0,400000.0,2.9762015293671973,3.939229040865438,0.4820405155553356,0.515342599494309,0.7344220051464482,0.7344147015324813,400000.0,0.0
500000.0,919.5625,979.9739990234375,0.0,500000.0,3.1261474393365773,4.118298552883059,0.5185543778271486,0.550380819437988,0.6970809535947688,0.6970742892158028,500000.0,0.0
