learning evaluation instances,evaluation time (cpu seconds),evaluation time (wall) (seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (leaves),[err] tree size (leaves)
100000.0,75.109375,87.23899841308594,-1.9430849028544294E-11,100000.0,2.34397343602584,3.067549248817334,0.4272150536970744,0.4482767787827767,0.7990479296041375,0.7990258222235083,100000.0,-1.0,100.0,100004.62000000001,337.134441905885,-1.0,0.0,776.1900000000005,17.30632803049193
200000.0,148.65625,172.3300018310547,-3.8457478189633954E-11,200000.0,2.5169030222296986,3.3173531568938683,0.4417372836758077,0.4654734252043155,0.7833344904285625,0.783322573110497,200000.0,-1.0,100.0,200027.65999999997,445.7779992849162,-1.0,0.0,1545.8599999999997,25.592778337458856
300000.0,222.984375,263.9389953613281,-5.768621728445093E-11,300000.0,2.468150624676983,3.2720728492103515,0.4069181817599517,0.4336799433315274,0.8119217067519632,0.8119148102720182,300000.0,-1.0,100.0,300087.2500000002,527.7626183362552,-1.0,0.0,2339.2000000000016,29.235028111614195
400000.0,296.46875,348.13299560546875,-7.66966776508424E-11,400000.0,2.395126339822786,3.2218552626474075,0.3879266656763734,0.4214934569740983,0.822343265728024,0.8223383800212603,400000.0,-1.0,100.0,399998.7399999999,632.8950097238239,-1.0,0.0,3144.4800000000023,35.99564507890456
500000.0,375.671875,439.7569885253906,-9.718658273211783E-11,500000.0,2.383983641520055,3.2069958184907037,0.3954468488667574,0.4285917992223899,0.8163090696393147,0.8163050283418556,500000.0,-1.0,100.0,499959.1999999999,756.159341339474,-1.0,0.0,3949.390000000001,38.173155462704415
