learning evaluation instances,evaluation time (cpu seconds),evaluation time (wall) (seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination,model training instances,model serialized size (bytes)
100000.0,74.3125,121.91999816894531,0.0,100000.0,3.5032443505159216,4.575434073957881,0.6385049848760885,0.6686317583972169,0.5529315716626457,0.5528823882335171,100000.0,0.0
200000.0,167.265625,277.0119934082031,0.0,200000.0,3.601054040432244,4.716920087001691,0.6320147483398583,0.6618532442797012,0.5619502830364342,0.5619261888563505,200000.0,0.0
300000.0,259.0625,458.5530090332031,0.0,300000.0,3.5197286408571897,4.62668058176042,0.5802893731469395,0.6132194070786549,0.6239619587821029,0.623948170169047,300000.0,0.0
400000.0,361.546875,639.7249755859375,0.0,400000.0,3.416240860633648,4.505814848928896,0.5533114909967755,0.5894651752914905,0.6525308071185725,0.6525212514290976,400000.0,0.0
500000.0,461.046875,848.7349853515625,0.0,500000.0,3.4140309212428286,4.502298093468657,0.5663074805657353,0.6016995810812783,0.6379576141266141,0.6379496490029619,500000.0,0.0
