learning evaluation instances,evaluation time (cpu seconds),evaluation time (wall) (seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination,model training instances,model serialized size (bytes)
100000.0,70.8125,118.26499938964844,0.0,100000.0,3.389299798697918,4.454857040331185,0.617737331507989,0.6510112151410011,0.5761843977606371,0.5761377724493535,100000.0,0.0
200000.0,166.140625,281.97698974609375,0.0,200000.0,3.518429218168881,4.626987222984259,0.6175134091033228,0.6492343411141955,0.5784947703180163,0.578471586139333,200000.0,0.0
300000.0,263.5,475.1409912109375,0.0,300000.0,3.464849425567302,4.568575660147452,0.5712415661456562,0.6055181912825348,0.6333477200259275,0.633334275571217,300000.0,0.0
400000.0,374.078125,669.6909790039062,0.0,400000.0,3.3780988339633455,4.464057584282913,0.547133817200476,0.5840023557683827,0.6589412484569794,0.6589318690599302,400000.0,0.0
500000.0,477.390625,881.9119873046875,0.0,500000.0,3.4062282698785715,4.494651821985644,0.5650132041113742,0.6006777121928463,0.6391862860747681,0.6391783479825475,500000.0,0.0
