learning evaluation instances,evaluation time (cpu seconds),evaluation time (wall) (seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination,model training instances,model serialized size (bytes)
100000.0,81.671875,94.125,-2.112857247185376E-11,100000.0,3.7785151141071376,4.645738398603884,0.6886761225866951,0.6789056916352764,0.539087061865227,0.5390363553572513,100000.0,-1.0
200000.0,178.046875,205.2169952392578,-4.6060853896455633E-11,200000.0,3.9392238820372003,4.880826375336931,0.6913663506591703,0.6848517065583951,0.5309781400240539,0.5309523422738902,200000.0,-1.0
300000.0,269.625,309.5469970703125,-6.975218032797177E-11,300000.0,3.8441353910948335,4.805468020293601,0.6337735501811645,0.6369158618290958,0.5943381849505003,0.594323310088954,300000.0,-1.0
400000.0,411.984375,481.8500061035156,-1.0658065245176355E-10,400000.0,3.7075662082200034,4.6898136805944235,0.6004960043300249,0.6135364936207227,0.6235729709955888,0.6235626189417296,400000.0,-1.0
500000.0,518.796875,606.2000122070312,-1.3421312259096239E-10,500000.0,3.694626167579641,4.6936862529851835,0.6128516363386055,0.6272772245456386,0.6065232835663206,0.6065146268707984,500000.0,-1.0
