learning evaluation instances,evaluation time (cpu seconds),evaluation time (wall) (seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination,model training instances,model serialized size (bytes)
100000.0,49.40625,87.81500244140625,0.0,100000.0,1.8082092293464334,2.44255523960513,0.32956610818957516,0.3569431836282092,0.8725915636613586,0.8725775470513681,100000.0,0.0
200000.0,99.265625,191.64199829101562,0.0,200000.0,1.924609888836205,2.588283067318345,0.3377849432104638,0.3631741716251485,0.8681045210643872,0.8680972663777645,200000.0,0.0
300000.0,149.640625,313.79400634765625,0.0,300000.0,1.9559958333175493,2.622070609726744,0.3224804272744843,0.3475287641324928,0.8792237581005422,0.8792193294611936,300000.0,0.0
400000.0,201.015625,443.71600341796875,0.0,400000.0,1.9746383680582225,2.636885317137769,0.31982232640560354,0.34496580924972237,0.8809985904486841,0.8809953178117423,400000.0,0.0
500000.0,253.984375,579.8469848632812,0.0,500000.0,2.031043817340704,2.6879585261815246,0.33690242814148724,0.35922621860900394,0.8709565238638761,0.8709536848392645,500000.0,0.0
