learning evaluation instances,evaluation time (cpu seconds),evaluation time (wall) (seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (leaves),[err] tree size (leaves)
100000.0,74.59375,86.1520004272461,-1.9297456472284263E-11,100000.0,2.342341173737478,3.0668896627010356,0.4269175558626482,0.4481803900647608,0.7991343379613989,0.7991122400868297,100000.0,-1.0,100.0,99991.56000000001,310.9456193320929,-1.0,0.0,775.8500000000001,17.337630586197005
200000.0,149.765625,175.82000732421875,-3.874447429552674E-11,200000.0,2.5119823793760516,3.311551896880449,0.44087367018378565,0.4646594231245744,0.7840916205015377,0.7840797448281249,200000.0,-1.0,100.0,200013.93000000005,451.6711339374366,-1.0,0.0,1544.0700000000002,26.09355932761643
300000.0,221.03125,256.1400146484375,-5.718094245013263E-11,300000.0,2.4604534871564674,3.2637246479955047,0.40564917282131996,0.4325734742531727,0.8128801893725397,0.8128733280383633,300000.0,-1.0,100.0,299975.03000000014,540.2901288505541,-1.0,0.0,2336.3699999999985,28.986466713369094
400000.0,300.921875,351.2669982910156,-7.78487042730881E-11,400000.0,2.3871178297829876,3.2128683249909726,0.3866295672539976,0.42031775691570744,0.8233329832213483,0.8233281247326322,400000.0,-1.0,100.0,400018.41,610.2914868232133,-1.0,0.0,3142.5,31.972999972988614
500000.0,378.015625,439.4169921875,-9.779291253329979E-11,500000.0,2.3778747039441273,3.200131912850239,0.39443351971791135,0.42767448787100676,0.8170945324242721,0.817090508407409,500000.0,-1.0,100.0,500034.21000000014,665.2582136344437,-1.0,0.0,3944.4100000000008,36.94005381368006
