learning evaluation instances,evaluation time (cpu seconds),evaluation time (wall) (seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination,model training instances,model serialized size (bytes)
100000.0,135.859375,153.54200744628906,-3.5146917475180495E-11,100000.0,1.9620656197444726,2.593771358150454,0.357608135063813,0.3790411742465072,0.856327788225829,0.8563119823858331,100000.0,-1.0
200000.0,340.953125,387.20599365234375,-8.820481727727585E-11,200000.0,2.1021169955570462,2.7945417426325347,0.36893890761174297,0.39211529653284316,0.8462455942249605,0.8462371372252229,200000.0,-1.0
300000.0,509.0625,585.7039794921875,-1.3169483281672002E-10,300000.0,2.099700665068807,2.7997665690657865,0.3461727045049286,0.37108055442805266,0.862299222125369,0.8622941728948778,300000.0,-1.0
400000.0,925.734375,1170.85595703125,-2.3948814487084746E-10,400000.0,2.07233754051598,2.783913363753871,0.3356461740167834,0.3642004906951724,0.8673580025773956,0.8673543548130336,400000.0,-1.0
500000.0,1097.046875,1370.2879638671875,-2.838068111385736E-10,500000.0,2.0977136339000295,2.806188372608753,0.3479613835863744,0.37502678258537986,0.8593549123436582,0.8593518180774674,500000.0,-1.0
