learning evaluation instances,evaluation time (cpu seconds),evaluation time (wall) (seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
100000.0,69.109375,372.7560119628906,-1.7878644737518496E-11,100000.0,1.6945729268441165,2.335180145311945,0.3088546366646354,0.34125190779627157,0.883547135425405,0.8835343240729395,100000.0,-1.0,10.0,99940.9,313.5461865676435,0.0,0.0
200000.0,135.9375,782.906982421875,-3.516712846855323E-11,200000.0,1.8098638294763048,2.4875365897473567,0.31764606136779283,0.349037959478189,0.8781725028433021,0.8781658019289036,200000.0,-1.0,10.0,199913.60000000003,406.92674743470127,0.0,0.0
300000.0,204.1875,1242.625,-5.282345227897168E-11,300000.0,1.8517699241464383,2.5450447400050997,0.3052969470491893,0.3373197692979169,0.8862153732408001,0.8862112009709282,300000.0,-1.0,10.0,299886.1,396.9176936791257,0.0,0.0
400000.0,273.28125,1749.4510498046875,-7.069805481781562E-11,400000.0,1.877064993553015,2.572423091375477,0.3040188536612815,0.33653265376449826,0.8867457729502244,0.886742658365543,400000.0,-1.0,10.0,399921.0,380.21689716382826,0.0,0.0
500000.0,343.71875,2286.096923828125,-8.892028644267055E-11,500000.0,1.9303890172918514,2.618810709871153,0.3202061627773285,0.3499851130129545,0.8775104206693095,0.8775077258338881,500000.0,-1.0,10.0,499924.69999999995,412.17931642539605,0.0,0.0
