learning evaluation instances,evaluation time (cpu seconds),evaluation time (wall) (seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
100000.0,72.703125,394.4540100097656,-1.8808350432664156E-11,100000.0,1.6969860418106197,2.3361956174903242,0.30929445352610113,0.341400303978417,0.8834458324434445,0.8834330099463137,100000.0,-1.0,10.0,99860.20000000001,231.09247788132856,0.0,0.0
200000.0,142.78125,823.4310302734375,-3.693761148800452E-11,200000.0,1.8093141184248427,2.486653166668214,0.3175495825346655,0.3489140022306169,0.8782590190474131,0.8782523228916914,200000.0,-1.0,10.0,199784.19999999998,378.18390588001705,0.0,0.0
300000.0,214.953125,1303.1729736328125,-5.56085271657341E-11,300000.0,1.8481503157454597,2.5374760491780197,0.304700190735177,0.33631661638529947,0.8868911335431433,0.8868869860521402,300000.0,-1.0,10.0,299553.4,504.2151657113699,0.0,0.0
400000.0,289.359375,1838.260009765625,-7.48574772539238E-11,400000.0,1.8737162827984448,2.56598751750166,0.30347647968470404,0.3356907313134387,0.8873117329102487,0.8873086338899331,400000.0,-1.0,10.0,399665.4,398.88934695114483,0.0,0.0
500000.0,366.265625,2404.716064453125,-9.475317913004092E-11,500000.0,1.928169195627742,2.6139987263024156,0.31983794654176806,0.34934202620764515,0.877960148725137,0.8779574637839703,500000.0,-1.0,10.0,499803.6,374.28456197569255,0.0,0.0
