learning evaluation instances,evaluation time (cpu seconds),evaluation time (wall) (seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination,model training instances,model serialized size (bytes)
100000.0,138.703125,156.06399536132812,-3.588259763394793E-11,100000.0,1.9624157410113667,2.5906667812593933,0.3576719485326595,0.3785874864275603,0.8566715151204618,0.8566557470949621,100000.0,-1.0
200000.0,340.765625,384.9360046386719,-8.81563108931813E-11,200000.0,2.103969155671775,2.796354345869889,0.3692639770207694,0.39236963141897807,0.8460460723401353,0.8460376043660356,200000.0,-1.0
300000.0,506.515625,580.5130004882812,-1.3103595443276895E-10,300000.0,2.1113852226834156,2.8122015901254853,0.34809911000533367,0.3727286898691074,0.8610733237484588,0.8610682295665624,300000.0,-1.0
400000.0,908.59375,1145.1590576171875,-2.3505385292487013E-10,400000.0,2.0853885434010215,2.797670716301177,0.3377599798518867,0.3660002717564764,0.8660438010741854,0.8660401171681977,400000.0,-1.0
500000.0,1068.640625,1331.8990478515625,-2.7645809394824837E-10,500000.0,2.1124997879515957,2.8221054905203005,0.3504140589842735,0.3771539902869963,0.8577548676105963,0.8577517381425764,500000.0,-1.0
