learning evaluation instances,evaluation time (cpu seconds),evaluation time (wall) (seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination,model training instances,model serialized size (bytes)
100000.0,48.578125,81.5999984741211,0.0,100000.0,1.8310281663237142,2.461693292273957,0.3337251115452564,0.3597399258829145,0.8705871857257552,0.8705729486077309,100000.0,0.0
200000.0,99.515625,183.86900329589844,0.0,200000.0,1.9536175902746493,2.615657421590636,0.34287603457390675,0.36701519603323723,0.8652998458806844,0.8652924369276707,200000.0,0.0
300000.0,150.625,306.18701171875,0.0,300000.0,1.9920630624277595,2.6609447652262594,0.32842674641072706,0.3526811376678679,0.8756160151332985,0.8756114542047495,300000.0,0.0
400000.0,202.171875,436.57501220703125,0.0,400000.0,2.0138105982058354,2.682143970403387,0.32616685712016924,0.3508866916816794,0.876878529600686,0.8768751436586718,400000.0,0.0
500000.0,255.0625,573.2340087890625,0.0,500000.0,2.065745865363383,2.729055865001149,0.3426586822116877,0.36471858074006674,0.8669803568629514,0.8669774303605663,500000.0,0.0
