learning evaluation instances,evaluation time (cpu seconds),evaluation time (wall) (seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination,model training instances,model serialized size (bytes)
100000.0,78.859375,90.4739990234375,-2.0400976710435417E-11,100000.0,3.783909178210396,4.6542521501408745,0.6896592503602872,0.6801498500186602,0.537396181519594,0.5373452889924579,100000.0,-1.0
200000.0,173.703125,200.53199768066406,-4.493712266493175E-11,200000.0,3.9376761522035277,4.878876397572621,0.6910947112807151,0.6845780960062177,0.5313528304685018,0.5313270533275491,200000.0,-1.0
300000.0,262.75,302.43701171875,-6.797361291117138E-11,300000.0,3.8440969536668677,4.804116189747388,0.633767213092924,0.6367366904531232,0.5945663870308036,0.5945515205370016,300000.0,-1.0
400000.0,401.03125,465.75799560546875,-1.0374707118090657E-10,400000.0,3.710077169725311,4.690557034083549,0.6009026922396355,0.6136337415124943,0.6234536312773774,0.6234432759415774,400000.0,-1.0
500000.0,519.578125,603.6840209960938,-1.344152325246897E-10,500000.0,3.699235279299655,4.697434432238311,0.6136161796324481,0.627778141597243,0.605894604932712,0.6058859344059279,500000.0,-1.0
