learning evaluation instances,evaluation time (cpu seconds),evaluation time (wall) (seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (leaves),[err] tree size (leaves)
100000.0,84.5,98.09100341796875,-2.1860210431946647E-11,100000.0,2.3531338019933514,3.078742223207883,0.42888463159354173,0.44991246580776184,0.7975787731107795,0.7975565041035408,100000.0,-1.0,100.0,99959.81,310.94806786518404,-1.0,0.0,776.0799999999999,16.779424629858184
200000.0,158.15625,183.98399353027344,-4.091513498375813E-11,200000.0,2.5229226460533365,3.3229389661146125,0.4427937774116086,0.4662571963699252,0.782604226833257,0.7825922693482837,200000.0,-1.0,100.0,200023.08,445.195012995388,-1.0,0.0,1546.9999999999998,23.17696522782304
300000.0,232.5625,274.45001220703125,-6.016408507194784E-11,300000.0,2.473486087435406,3.2771444932940494,0.40779782694157,0.4343521381206338,0.8113382201100339,0.8113313022347228,300000.0,-1.0,100.0,300051.54000000027,513.7367446740467,-1.0,0.0,2338.9300000000003,28.370298524757146
400000.0,306.296875,359.2760009765625,-7.923922061713205E-11,400000.0,2.397083434023642,3.2224783161667827,0.38824364646153264,0.4215749668373146,0.822274547336117,0.8222696597395409,400000.0,-1.0,100.0,400068.65999999986,653.3136240069722,-1.0,0.0,3145.029999999999,32.002037498265764
500000.0,385.71875,452.06500244140625,-9.978571647985113E-11,500000.0,2.3825977359134103,3.2045291753578824,0.3952169597033297,0.4282621502056247,0.816591530701255,0.8165874956180884,500000.0,-1.0,100.0,500084.44000000006,713.8742118209915,-1.0,0.0,3947.82,36.24562112179966
